"Name","Purpose Statement","Affiliation"
"Academy of General Dentistry Student Chapter at The Ohio State University College of Dentistry","AGD’s mission is to “advance general dentistry and oral health through quality continuing education and advocacy.” Through this mission, AGD...","Columbus, Academic/College, Special Interest"
"Accessible Prosthetics Initiative","To increase accessibility to open-source prosthetic devices in underserved communities through education, networking, and device distributio...","Columbus, Special Interest, Awareness/Activism, Technology"
"Accounting Association","The mission of the Accounting Association is to provide an environment that allows for the development and enhancement of skills necessary f...","Columbus, Academic/College, Special Interest"
"Ace Space at The Ohio State University","Ace Space at The Ohio State University helps provide students with a-spec identities a safe place to form community and find resources, and ...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest"
"ACLU of Ohio Action Team at Ohio State","The ACLU of Ohio OSU Action Team exists to engage the student body in organizing, building power, and mobilizing for true social justice and...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Active Minds","Active Minds at Ohio State Newark supports students and their mental health.","Newark, Awareness/Activism"
"Actuarial Club at Ohio State","ACOS is a student organization with the primary goal of providing students with valuable networking opportunities that may lead to internshi...","Columbus, Academic/College, Special Interest"
"Adaptive Sports and Wellness Student Group","The Adaptive Sports and Wellness Student Group (ASWSG) aims to increase the awareness and involvement of The Ohio State University students ...","Columbus, Community Service/Service Learning, Awareness/Activism, Sports and Recreation"
"ADEA Chapter for Students, Residents and Fellows at The Ohio State University","The American Dental Education Association (ADEA) is The Voice of Dental Education. Our mission is to lead institutions and individuals in th...","Columbus, Academic/College, Community Service/Service Learning"
"Admissions Ambassadors","","Wooster, Special Interest"
"Adopt-A-School","Adopt-A-School is a student organization in which its volunteers tutor students at the nearby Graham Elementary and Middle School. As tutors...","Columbus, Community Service/Service Learning, Academic/College, Special Interest"
"Advocates For Children","To promote and support quality advocacy for children while enabling law students to network with institutions and professionals serving the ...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"Advocates for Inclusion and Diversity through Education","AIDE is a student organization that seeks to educate The Ohio State University community through initiatives that promote inclusive dialogue...","Columbus, Awareness/Activism, Ethnic/Cultural"
"Advocates for Trauma-Informed Care","To advance medical student's ability to provide trauma-informed care to survivors of sexual violence, including sexual assault and intimate ...","Columbus, Academic/College, Awareness/Activism"
"Advocates for Women of the World","Our mission is to advocate for global gender equality by spreading awareness of and taking action against issues faced by people marginalize...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"African American Heritage Festival","The purpose of the Annual African American Heritage Festival at The Ohio State University is to create a venue of celebration, education, an...","Columbus, Ethnic/Cultural, Community Service/Service Learning,"
"The African American Voices Gospel Choir","Our purpose is to foster an environment on campus whereby students can come together to celebrate God's existence through music and the arts...","Columbus, Religious/Spiritual, Ethnic/Cultural, Creative and Performing Arts"
"African Youth League","To make the greater Ohio State community aware of the African Youth League. To foster an inclusive and conducive environment where individua...","Columbus, Ethnic/Cultural, Awareness/Activism, Academic/College, Community Service/Service Learning"
"Age-Friendly Service Association","Creating an intergenerational bridge between college students and the older adult population in Columbus to reform stigma around aging. We w...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism, Special Interest"
"Agent-7 Dance and Performance Club","Our purpose is to create a space where enthusiasts of K-pop, J-pop, and C-pop can share their love for music, dance, and acting. Through our...","Columbus, Creative and Performing Arts, Ethnic/Cultural, Media, Journalism, and Creative Writing, Special Interest"
"The Agribusiness Club","The purpose of this organization shall be: (a) To stimulate interest in and to provide information on the profession of agribusiness, and in...","Columbus, Academic/College, Special Interest"
"Agricultural Communication, Education, and Leadership - Graduate Student Association","The ACEL Graduate Student Association strives to extend opportunities to graduate students with the primary goal of development.  The organi...","Columbus, Academic/College, Special Interest,"
"Agricultural Communicators of Tomorrow","The purposes of this organization shall be: Be a club where students who are interested in Agricultural Communications, whether that is thei...","Columbus, Academic/College, Media, Journalism, and Creative Writing"
"Agricultural Communicators, Educators, & Leaders of Tomorrow","Agricultural Communicators, Educators, & Leaders of Tomorrow","Wooster, Academic/College"
"Agricultural Education Society","Practicing skills important to how people interact and learn about food, agriculture, and the environment.","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Agricultural Systems Management Club","The Agricultural Systems Management (ASM) Club strives to bring together ASM students and other interested students in the College of Food, ...","Columbus, Academic/College, Community Service/Service Learning"
"Agricultural, Environmental, and Development Economics Graduate Student Association","To foster a greater sense of community and support within the AEDE Graduate program by providing a variety of social and educational opportu...","Columbus, Academic/College"
"Agronomy Club","Agronomy club is centered around crop and soil agriculture, but is open to members of any major","Wooster, Academic/College"
"Ahmadiyya Muslim Students Association","To spread the message of the International Ahmadiyya Muslim Community through activities and events, based on the motto, “Love for all, hatr...","Columbus, Religious/Spiritual, Awareness/Activism, Community Service/Service Learning,"
"Aikido Club at Ohio State","The Sport Club program is designed to serve individual interests in different sports and recreational activities. Participation in the progr...","Columbus, Sports and Recreation, Ethnic/Cultural, Special Interest,"
"Albanians at The Ohio State University","To bring together Ohio State students of Albanian/Kosovar background and those interested in learning about Albania and Kosovo. We want to c...","Columbus, Ethnic/Cultural, Awareness/Activism, Special Interest"
"The Alexander Hamilton Society at The Ohio State University","The Alexander Hamilton Society (AHS) is an independent, non-partisan, not-for-profit organization dedicated to promoting constructive discus...","Columbus, Academic/College, Special Interest"
"All About Anesthesia","This organization will consist of a group of medical student leaders who are dedicated to anesthesia care, pain management, and critical ca...","Columbus, Academic/College, Special Interest"
"All Girl Cheer Team - Sport Club","The All Girl competitive cheerleading program is designed to serve the individual athlete's interests through practice, competition, and rec...","Columbus, Sports and Recreation, Special Interest,"
"Allied Scholars for Animal Protection at Ohio State","Allied Scholars for Animal Protection at Ohio State seeks to build the student vegan community and empower those students to become effectiv...","Columbus, Awareness/Activism, Special Interest"
"Alpha Alpha Alpha First-Generation Honor Society","The purpose of this organization shall be to recognize academic achievements in first-generation college students, create enthusiasm for sch...","Columbus, Honoraries/Honor Societies, Community Service/Service Learning, Academic/College"
"Alpha Chi Omega","The purpose of Alpha Chi Omega Fraternity is “to encourage the spirit of true sisterhood, to develop through personal effort a high moral an...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning, Special Interest"
"Alpha Delta Nu","Alpha Delta Nu is a nursing honor society that recognizes the academic excellence of students in the study of Associate Nursing Degree.","Newark, Honoraries/Honor Societies"
"Alpha Epsilon Delta","We are the Ohio Alpha chapter of Alpha Epsilon Delta, a national pre-professional health honorary society dedicated to preparing students fo...","Columbus, Honoraries/Honor Societies, Academic/College, Community Service/Service Learning,"
"Alpha Epsilon Phi","Alpha Epsilon Phi is a national sorority dedicated to helping women become the best they can be. We prize individuality, encouraging each me...","Columbus, Social Fraternities/Sororities, Governance Organizations,"
"Alpha Eta Rho (Omicron Sigma Upsilon Chapter)","-To further the cause of aviation in all of its branches. -To instill in the public mind a confidence in aviation and its safety -To promote...","Columbus, Academic/College, Community Service/Service Learning, Special Interest, Social Fraternities/Sororities"
"Alpha Gamma Delta","Alpha Gamma Delta Purpose  To gain understanding that wisdom may be vouchsafed to me. To develop and prize health and vigor of body. To cult...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning"
"Alpha Gamma Rho","To be the premier fraternity shaping tomorrow’s leaders, improving one’s social, educational and professional skills, while developing a lif...","Columbus, Social Fraternities/Sororities, Academic/College, Special Interest, Community Service/Service Learning"
"Alpha Gamma Sigma","Alpha Gamma Sigma is a fraternity of agricultural heritage preparing men for life by:   coming together as scholars,   living as brothers,  ...","Columbus, Social Fraternities/Sororities"
"Alpha Kappa Alpha Sorority, Incorporated","The purpose of Alpha Kappa Alpha Sorority, Incorporated is to cultivate and encourage high scholastic and ethical standards, to promote unit...","Columbus, Social Fraternities/Sororities, Academic/College, Community Service/Service Learning,"
"Alpha Lambda Delta","Alpha Lambda Delta / Phi Eta Sigma (ALDPES) is Ohio State's Freshman Class Honorary. Our mission is to engage our members around our three c...","Columbus, Honoraries/Honor Societies, Awareness/Activism, Community Service/Service Learning"
"Alpha Lambda Mu at Ohio State","Our mission is to connect, build, and sustain a lifelong brotherhood as the first Muslim-interest fraternity in America through excellence i...","Columbus, Social Fraternities/Sororities, Ethnic/Cultural, Religious/Spiritual"
"Alpha Omega Alpha Honor Medical Society","The purpose of AOA is to honor excellence in medicine by recognizing those ""worthy to serve the suffering"".","Columbus, Honoraries/Honor Societies, Academic/College"
"Alpha Omega Dental Fraternity Psi Chapter","To build a community of likeminded dental professionals and students who are committed to help each other thrive professionally and socially...","Columbus, Academic/College, Community Service/Service Learning, Ethnic/Cultural, Religious/Spiritual"
"Alpha Phi Alpha Fraternity Inc., Kappa Chapter","Alpha Phi Alpha Fraternity Inc., develops leaders, promotes brotherhood and academic excellence while providing service and advocacy for our...","Columbus, Community Service/Service Learning, Ethnic/Cultural, Social Fraternities/Sororities"
"Alpha Phi Omega","Alpha Phi Omega at Ohio State is a National Co-ed Fraternity devoted to leadership, friendship, and service. It is the VISION of Alpha Phi O...","Columbus, Community Service/Service Learning, Special Interest, Social Fraternities/Sororities"
"Alpha Phi Sorority","The purpose of this chapter is the promotion of growth in character, of unity of feeling, of sisterly affection and of social communion amon...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning, Academic/College"
"Alpha Psi Lambda","Alpha Psi Lambda is OSU's first and only Co-Ed Latinx Fraternity. We were founded here in 1985 and have grown to become a National Organizat...","Columbus, Social Fraternities/Sororities, Special Interest, Awareness/Activism, Ethnic/Cultural"
"Alpha Rho Chi Demetrios Chapter","The objectives of this chapter are to organize and unite, for educational and professional development purposes, the students of architectur...","Columbus, Academic/College, Community Service/Service Learning, Creative and Performing Arts, Special Interest"
"Alpha Sigma Phi Fraternity","The purpose of the national fraternity is: ""To Better the Man, through the creation and perpetuation of brotherhood founded upon the values ...","Columbus, Social Fraternities/Sororities, Academic/College, Community Service/Service Learning,"
"Alpha Sigma Upsilon","This sorority was created not only as a social organization, but also as a means to recognize individuals worthy of honor, with interests in...","Columbus, Social Fraternities/Sororities, Academic/College, Community Service/Service Learning,"
"Alpha Xi Delta Sorority","Alpha Xi Delta's vision is ""Inspiring women to realize their potential.""  Therefore, we dedicate ourselves to helping our members maximize t...","Columbus, Social Fraternities/Sororities, Community Service/Service Learning"
"Alpha Zeta Partners","The purpose of the fraternity of Alpha Zeta is to bind together a group of men and women interested in the continued advancement of agricult...","Columbus, Honoraries/Honor Societies, Academic/College, Community Service/Service Learning,"
"Alternative Investment Club","To provide students with a platform to learn about and explore investment opportunities beyond traditional options like stocks, bonds, and m...","Columbus, Special Interest"
"Alumni Advancement Ambassadors","We offer this program to students of the College of Arts and Sciences. Our goal is to provide students with professional development opportu...","Columbus, Academic/College, Community Service/Service Learning"
"Amateur Radio and RF Club at The Ohio State University (W8LT)","To encourage the amateur radio hobby and hands on Radio Frequency (RF) projects among students, to promote the use of good engineering pract...","Columbus, Special Interest, Academic/College, Technology"
"The Amateur Radio Organization for Undergraduate Student Entertainment","To retain freedom of expression as a necessary function of quality entertainment, and maintain a respectful metadiscourse within an increasi...","Columbus, Media, Journalism, and Creative Writing, Creative and Performing Arts"
"American Association of Pharmaceutical Scientists Student Chapter at The Ohio State University","The primary purpose of AAPS is to serve its membership, the pharmaceutical sciences as a whole, the biomedical and biotechnological communit...","Columbus, Academic/College"
"American Association of Psychiatric Pharmacists","Students dedicated to expanding awareness of psychiatric and neurologic pharmacy while promoting and advocating for the mental health of our...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"American Association of Public Health Dentistry - The Ohio State Student","The purpose of this organization is to increase oral health awareness and educate underserved communities. We hope to do this by increasing ...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism,"
"American Association of University Women at The Ohio State University","To advance equity for women and girls through advocacy, education, and philanthropy, and to provide a supportive space at the Ohio State Uni...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"The American Cancer Society Buckeye Chapter","Our goal as ACS at The Ohio State Unviersity is to lead the fight for a world free from the the pain and suffering from cancer. With partner...","Columbus, Community Service/Service Learning, Awareness/Activism,"
"The American Chemical Society Buckeye Chapter","The purpose of the American Chemical Society Buckeye Chapter is to help students foster their interest in science by providing exposure to c...","Columbus, Academic/College, Community Service/Service Learning, Special Interest,"
"American Choral Directors Association at Ohio State","Educate members and future choral music educators on topics and resources related to the field of choral music education, and connect them w...","Columbus, Academic/College, Creative and Performing Arts, Special Interest,"
"American Civil Liberties Union: Moritz Chapter at The Ohio State University","The purpose of ACLU at Moritz is to raise awareness of, and foster discussion related to, our civil liberties, civil rights, and legal devel...","Columbus, Awareness/Activism, Special Interest, Academic/College, Community Service/Service Learning"
"American Conservation Coalition","The American Conservation Coalition is changing the narrative on environmental discussions through promoting a mix of market-based, pro-busi...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest"
"American Constitution Society","ACS is committed to fostering a progressive vision of the law on issues across the policy spectrum, including access to the courts; nondiscr...","Columbus, Awareness/Activism, Academic/College, Special Interest"
"The American Enterprise Institute at The Ohio State University","The AEI OSU Chapter is an academic campus organization stemming from the DC think tank, the American Enterprise Institute, which aims to “de...","Columbus, Special Interest, Awareness/Activism, Governance Organizations, Academic/College"
"The American Foundry Society Buckeye Student Chapter","To provide and promote knowledge and experience in the metalcasting industry and to cultivate relationships between industry leaders, facult...","Columbus, Special Interest, Technology"
"American Indian and Indigenous Studies Organization","The Objectives of AISO are to expand education of American Indian Studies outside the classroom, develop a network of shared interest, allow...","Newark, Ethnic/Cultural"
"American Institute of Aeronautics and Astronautics","The objective of the American Institute of Aeronautics and Astronautics at The Ohio State University ( AIAA) is to promote education and adv...","Columbus, Academic/College, Special Interest, Technology, Community Service/Service Learning"
"American Institute of Chemical Engineers","Our mission is to serve the William G. Lowrie Department of Chemical and Biomolecular Engineering by engaging students with professional dev...","Columbus, Academic/College, Community Service/Service Learning"
"American Marketing Association at Ohio State","We are the only marketing student organization on OSU’s campus devoted to inspiring members to find their passion in marketing! We are dedic...","Columbus, Academic/College, Special Interest"
"American Medical Women's Association","To bring together those in medicine and health-related fields to advocate for women's health and wellness initiatives, and to support member...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"American Muslim Medical Student Association","American Muslim Medical Student Association (AMMSA) is an organization that aims to address important issues relevant to Muslim medical stud...","Columbus, Religious/Spiritual, Academic/College, Community Service/Service Learning, Ethnic/Cultural"
"American Nuclear Society Student Section","The ANS Student Section aims to promote and raise awareness about Nuclear Science and Technology by sharing resources, networking, and engag...","Columbus, Academic/College, Awareness/Activism"
"American Optometric Student Association","The purpose of AOSA is to enhance awareness among students of current issues in optometry as well as to promote community service in the for...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning"
"American Pharmacists Association Academy of Student Pharmacists","We the members of the Academy of Students of Pharmacy hereby associate ourselves to: A.	Uphold the aims and aid in furthering the objectives...","Columbus, Academic/College, Community Service/Service Learning, Governance Organizations"
"The American Red Cross at Ohio State","The purpose of the American Red Cross at Ohio State is to bring together a diverse, selfless group of leaders and volunteers to alleviate hu...","Columbus, Awareness/Activism, Community Service/Service Learning"
"American Sign Language Student Organization","ASLSO Provides a space for students to engage with one another through ASL, to promote Deaf cultural awareness, and to broaden ASL skills th...","Newark, Ethnic/Cultural"
"American Society for Microbiology Student Chapter at The Ohio State University","The purpose of this organization is to promote a closer scientific relationship among persons interested in microbiology, to cultivate socia...","Columbus, Academic/College, Special Interest, Community Service/Service Learning"
"American Society of Agricultural and Biological Engineers","The American Society of Agricultural and Biological Engineers is an educational and professional organization dedicated to the advancement o...","Columbus, Academic/College, Special Interest"
"The American Society of Biomechanics Chapter at The Ohio State University","1.	Create, Connect, and improve research opportunities in Biomechanics for members. 2.	Provide a community with resources to aid students wh...","Columbus, Academic/College, Special Interest"
"American Society of Civil Engineers Ohio State Student Chapter","The object of this society shall be to afford an opportunity for the members of the Civil Engineering Department to become acquainted, to pr...","Columbus, Academic/College"
"American Society of Consultant Pharmacists Student Chapter","To provide a forum for pharmacy students to be able to become well-informed about pharmacists' roles in providing care to older adults and i...","Columbus, Academic/College, Special Interest"
"American Society of Mechanical Engineers","ASME OSU is The Ohio State University Student Section of the American Society of Mechanical Engineers. Our mission is to 1) Promote science ...","Columbus, Academic/College, Technology,"
"American String Teachers Association at Ohio State","The American String Teachers Association promotes excellence in string and orchestra teaching and playing. ASTA pursues its mission through:...","Columbus, Creative and Performing Arts, Special Interest,"
"American Student Dental Association","The American Student Dental Association is a national student-run organization that protects and advances the rights, interests, and welfare...","Columbus, Academic/College, Community Service/Service Learning, Governance Organizations"
"American Welding Society at The Ohio State University","The AWS provides enhancements to welding education, professional development, and social activities to its members as well as interested ind...","Columbus, Academic/College, Special Interest, Technology"
"Amnesty International","We work to protect people wherever justice, freedom, truth, and dignity are denied. Amnesty International is a global movement of millions o...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest, Academic/College"
"AMPP® International Student Section at The Ohio State University","The AMPP® International Student Section at The Ohio State University aims to utilize connections with AMPP® International and the local AMPP...","Columbus, Academic/College, Special Interest, Technology, Awareness/Activism"
"Anatomy Memorial Service Committee","Our purpose is to organize and execute an annual memorial service for the families of individuals who have selflessly donated to the body do...","Columbus, Academic/College, Special Interest"
"Anesthesiology Interest Group","To increase the opportunities for students at The Ohio State University to better learn about and prepare for a career in the field of anest...","Columbus, Academic/College, Special Interest"
"Anesthesiology Ultrasound Community of Practice Interest Group","The Anesthesiology Ultrasound Community of Practice Interest Group is a group of medical student leaders who are dedicated to expanding acad...","Columbus, Academic/College, Special Interest"
"Animal Science Community Alliance","The purpose of the Animal Science Community Alliance shall be to:   -Recruit animal and meat science majors by enthusiastically representing...","Columbus, Academic/College, Community Service/Service Learning"
"Animal Sciences Graduate Student Association","We the members of ASGSA hereby associate ourselves to promote fellowship and communication of information and ideas among all students inter...","Columbus, Academic/College"
"Animal Welfare and Behavior Club","To educate and promote animal welfare science to the University and greater community.","Columbus, Academic/College, Awareness/Activism, Special Interest"
"Animal Welfare Club","To promote activities which raise awareness and fund for animal projects.","Lima, Special Interest"
"Animation Club at The Ohio State University","To sponsor educational workshops, collaborate on creative projects, and enjoy animation in its limitless forms.","Columbus, Creative and Performing Arts, Technology, Media, Journalism, and Creative Writing,"
"Antique Research Club","The Antique Research Club is a club that aims to learn, research and educate others about antiques.","Columbus, Special Interest, Academic/College, Creative and Performing Arts, Technology"
"Applied Ethics and Technology at Ohio State","This organization will engage in projects to bring public awareness to ethical issues. Initially, this will be done by creating a community ...","Columbus, Awareness/Activism, Community Service/Service Learning, Media, Journalism, and Creative Writing, Technology"
"Arab American Association of Engineers and Architects","To support Arab-American students in the College of Engineering and Knowlton School of Architecture by fostering an encouraging community de...","Columbus, Academic/College, Community Service/Service Learning, Ethnic/Cultural"
"Arab Business Society","The Arab Business Society aims to provide educational & professional development opportunities to Fisher students at different points in the...","Columbus, Academic/College, Ethnic/Cultural"
"Arab Dental Society","The Arab Dental Society (hereafter referred to as ADS) of the OSU College of Dentistry (OSUCoD) is a professional student organization that ...","Columbus, Academic/College, Community Service/Service Learning, Ethnic/Cultural"
"Arab Medical Society","The Arab Medical Society (AMS) provides an inclusive space for MENA-identifying students at The Ohio State University (OSU) seeking to promo...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Arab Student Union","The Arab Student Union seeks to create and maintain an Arab environment for the benefit of Arab students and interested members of the commu...","Columbus, Ethnic/Cultural, Awareness/Activism,"
"The Archery Club - Sport Club","To promote and encourage the education and interest of the sport of archery at The Ohio State University.","Columbus, Sports and Recreation, Special Interest, Community Service/Service Learning"
"The Arena","The Arena exists to form self-centered and individualistic boys who lack purpose or direction into men who lay their lives down to build som...","Columbus, Religious/Spiritual, Social Fraternities/Sororities, Special Interest"
"The Armed Forces Club at The Ohio State University College of Dentistry","The Armed Forces Club at The Ohio State University College of Dentistry seeks to promote oral health in the Columbus community, to welcome n...","Columbus, Community Service/Service Learning, Special Interest, Awareness/Activism"
"Armwrestlers at The Ohio State University","Armwrestlers at The Ohio State University is a collection of students who want to get stronger together. The sport of armwrestling is growin...","Columbus, Sports and Recreation, Special Interest"
"Army ROTC Cadet Service Corps","To organize fundraising events and social functions for the Army ROTC program at The Ohio State University.","Columbus, Academic/College, Community Service/Service Learning, Governance Organizations, Technology"
"Arnold Air Society - General Curtis E. LeMay Squadron","Arnold Air Society is primarily a professional, honorary, service organization advocating the support of aerospace power.  Additionally, the...","Columbus, Community Service/Service Learning, Special Interest"
"Art & Resilience | Wexner Center for the Arts","Interested in joining an Art & Resilience Student org?Interested in building community at the intersections of Art & Resilience? If you have...","Columbus, Creative and Performing Arts, Awareness/Activism, Special Interest, Community Service/Service Learning"
"Art and Sketchbook Club","The purpose of this sketchbook club is to bring students together to share their creative skills and ideas. Art and sketchbook club is a clu...","Columbus, Special Interest, Media, Journalism, and Creative Writing, Technology"
"Art Club","To create and facilitate the feeling of communal acceptance while exposing the OSU community to the wonders of art.","Columbus, Creative and Performing Arts, Special Interest"
"Art in Dentistry","Arts in Dentistry's purpose is to be a creative outlet for dental students, to be a connection to artistic projects and community service, a...","Columbus, Creative and Performing Arts, Community Service/Service Learning,"
"Art of Freedom Dabke Troupe at The Ohio State University","Our purpose is to showcase the Middle Eastern Culture for the students at The Ohio State University through Dabke. Dabke is a traditional Le...","Columbus, Creative and Performing Arts, Ethnic/Cultural, Special Interest"
"Artificial Intelligence Club","Our purpose is to facilitate discussion, learning, and interest in the field of artificial intelligence, organize AI experts and researchers...","Columbus, Academic/College, Special Interest, Technology"
"Artificial Intelligence Robotics Club","The AI Robotics Club at The Ohio State University plans to advance artificial intelligence, robotics education, and autonomous systems by bu...","Columbus, Technology, Academic/College, Community Service/Service Learning,"
"Artists de Fleur Club","TEST","Wooster, Creative and Performing Arts"
"Arts and Sciences Student Council","Our primary purpose is to provide a link between the students and faculty of the Colleges of the Arts and Sciences.  This is achieved throug...","Columbus, Academic/College, Governance Organizations"
"Arts Priori","Arts Priori aims to promote and provide representative, academic, professional, administrative and social services specifically for the grad...","Columbus, Academic/College, Creative and Performing Arts"
"Ascend Pan-Asian Leaders at The Ohio State University","Ascend OSU’s vision is to accomplish our mission and goal through events and interactions provided by Ascend to build up a bridge for Ascend...","Columbus, Academic/College, Ethnic/Cultural"
"Asian American Advocacy Alliance","The Asian American Advocacy Alliance is a non-partisan student organization that is dedicated to advocating for and advancing Asian American...","Columbus, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural, Special Interest"
"Asian American Association","The Asian American Association at The Ohio State University is a student organization that, since its inception in the early 1970’s, has ser...","Columbus, Ethnic/Cultural, Awareness/Activism"
"Asian American InterVarsity Christian Fellowship at Ohio State","In response to God's love, grace and truth: The Purpose of Asian American InterVarsity Christian Fellowship is to establish and advance at c...","Columbus, Ethnic/Cultural, Religious/Spiritual"
"Asian Business Student Association","The Asian Business Student Association was established to provide its members and other students in the College of Business and the universi...","Columbus, Academic/College, Ethnic/Cultural, Community Service/Service Learning"
"Asian Pacific American Law Students Association","Advocate the issues concerning Asian American law students at the Ohio State University. Establish a growing and working rapport with people...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Ethnic/Cultural"
"Asian Pacific American Medical Student Association","APAMSA is a national organization that aims to address those issues important to Asian- American medical students. One part of our mission i...","Columbus, Ethnic/Cultural, Academic/College, Community Service/Service Learning,"
"Asian Pacific Islander Desi American Cohort Mentorship Program","APIDA Cohort is an Asian/Asian American student organization that focuses on helping first-year and transfer students integrate to the Ohio ...","Columbus, Ethnic/Cultural, Academic/College, Awareness/Activism"
"Asian Pacific Student Dental Association","The Asian Pacific Student Dental Association is a student-run organization which aims to serve as the collective voice of the OSU College of...","Columbus, Academic/College, Community Service/Service Learning, Ethnic/Cultural, Awareness/Activism"
"Asians in Vet Med at Ohio State","The main focus of this affinity group would be to create a sense of community and belonging for people who identify as Asian or mixed Asian ...","Columbus, Ethnic/Cultural, Academic/College, Awareness/Activism, Special Interest"
"Ask A Muslim","AAM-OSU’s aim is to eradicate misconceptions about Islam, to show a good example of a Muslim’s demeanor, and to show a good example of Islam...","Columbus, Religious/Spiritual, Awareness/Activism, Community Service/Service Learning, Special Interest"
"ASL Club","To spread knowledge of deaf community and teach others about the diverse culture that exists everywhere.","Lima, Special Interest"
"Associated Press Sports Editors","An APSE student chapter at Ohio State fosters the professional development of aspiring sports journalists. By offering workshops, seminars, ...","Columbus, Media, Journalism, and Creative Writing, Academic/College, Special Interest"
"Association for Future Healthcare Executives","The Association of Future Healthcare Executives at The Ohio State University is committed to the following objectives.  a. To promote an env...","Columbus, Academic/College, Honoraries/Honor Societies, Special Interest, Community Service/Service Learning"
"Association for India's Development","Association for India's Development (AID) is a 501(C)(3) voluntary non-profit organization committed to promoting sustainable, equitable and...","Columbus, Awareness/Activism, Community Service/Service Learning"
